id;rodada;data;mandante;visitante;vencedor
505;43;22/11/2003;Coritiba;Ponte Preta;nao informado/empate
506;43;22/11/2003;Gremio;Vasco;Gremio
507;43;22/11/2003;Flamengo;Criciuma;Flamengo
508;43;23/11/2003;Santos;Fluminense;Santos
509;43;23/11/2003;Parana;Cruzeiro;Cruzeiro
510;43;23/11/2003;Sao Caetano;Goias;Sao Caetano
511;43;23/11/2003;Bahia;Athletico-PR;Athletico-PR
512;43;23/11/2003;Sao Paulo;Vitoria;Sao Paulo
513;43;23/11/2003;Guarani;Corinthians;Corinthians
514;43;23/11/2003;Paysandu;Juventude;Paysandu
515;44;29/11/2003;Vasco;Figueirense;Vasco
516;44;29/11/2003;Juventude;Atletico-MG;Juventude
517;44;29/11/2003;Athletico-PR;Guarani;Athletico-PR
518;44;29/11/2003;Fluminense;Sao Caetano;Fluminense
519;44;29/11/2003;Internacional;Flamengo;Internacional
520;44;30/11/2003;Goias;Santos;Goias
521;44;30/11/2003;Fortaleza;Parana;Fortaleza
522;44;30/11/2003;Criciuma;Gremio;Gremio
523;44;30/11/2003;Vitoria;Coritiba;Vitoria
524;44;30/11/2003;Ponte Preta;Sao Paulo;Sao Paulo
525;44;30/11/2003;Corinthians;Bahia;Bahia
526;44;30/11/2003;Cruzeiro;Paysandu;Cruzeiro
527;45;06/12/2003;Vitoria;Atletico-MG;Atletico-MG
528;45;06/12/2003;Goias;Figueirense;Figueirense
529;45;06/12/2003;Athletico-PR;Vasco;nao informado/empate
530;45;06/12/2003;Corinthians;Parana;nao informado/empate
531;45;07/12/2003;Cruzeiro;Fluminense;Cruzeiro
532;45;07/12/2003;Guarani;Paysandu;Guarani
533;45;07/12/2003;Santos;Gremio;nao informado/empate
534;45;07/12/2003;Flamengo;Ponte Preta;nao informado/empate
535;45;07/12/2003;Criciuma;Bahia;Criciuma
536;45;07/12/2003;Fortaleza;Coritiba;nao informado/empate
537;45;07/12/2003;Internacional;Sao Paulo;nao informado/empate
538;45;07/12/2003;Juventude;Sao Caetano;Juventude
539;46;13/12/2003;Parana;Vitoria;Parana
540;46;13/12/2003;Coritiba;Criciuma;Coritiba
541;46;13/12/2003;Atletico-MG;Goias;Atletico-MG
542;46;13/12/2003;Figueirense;Guarani;Figueirense
543;46;13/12/2003;Ponte Preta;Cruzeiro;Cruzeiro
544;46;14/12/2003;Vasco;Fortaleza;nao informado/empate
545;46;14/12/2003;Sao Caetano;Santos;Santos
546;46;14/12/2003;Bahia;Flamengo;nao informado/empate
547;46;14/12/2003;Gremio;Internacional;Gremio
548;46;14/12/2003;Sao Paulo;Athletico-PR;Sao Paulo
549;46;14/12/2003;Fluminense;Corinthians;nao informado/empate
550;46;14/12/2003;Paysandu;Juventude;Juventude
